agency,facility,legs,chargeable_legs,revenue
"GAC","Shell Norco",3,3,10500
"GAC","Willow Glen",3,3,10500
"GAC","MPLX Mt Airy",2,2,7000
"GAC","CFI Donaldsonville",1,1,3500
"GAC","Dow Missouri",1,1,3500
"GAC","Genesis Baton Rouge",1,1,3500
"GAC","IMTT Gretna",1,1,3500
"GAC","KMI Harvey",1,1,3500
"GAC","LBC Sunshine",1,1,3500
"GAC","PCS Nitrogen",1,1,3500
"GAC","Shintech",1,1,3500
"GAC","Stolthaven",1,1,3500
"GAC","Total Carville",1,1,3500
"GAC","(never berthed)",148,0,0
"General Maritime","PCS Nitrogen",40,40,413000
"General Maritime","LDC Port Allen",38,38,399000
"General Maritime","AST St James",32,32,336000
"General Maritime","Stolthaven",88,88,308000
"General Maritime","CHS Myrtle Grove",29,29,304500
"General Maritime","ADM Destrehan",19,19,199500
"General Maritime","ADM AMA",17,17,178500
"General Maritime","Cargill Reserve",16,16,168000
"General Maritime","Cargill Westwego",13,13,136500
"General Maritime","Zen-Noh",10,10,105000
"General Maritime","AST Chalmette Buoys",8,8,84000
"General Maritime","ADM Reserve",7,7,73500
"General Maritime","Shell Geismar",19,19,66500
"General Maritime","Cooper Darrow",6,6,63000
"General Maritime","Occidental Taft",17,17,59500
"General Maritime","Shintech",16,16,56000
"General Maritime","Bunge Destrehan",5,5,52500
"General Maritime","Cooper Dockside",5,5,52500
"General Maritime","IMTT St Rose",15,15,52500
"General Maritime","Reserve Buoys",5,5,52500
"General Maritime","IMTT Gretna",10,10,35000
"General Maritime","ABT Burnside",3,3,31500
"General Maritime","AST Arabi Dolphins",3,3,31500
"General Maritime","Dow Missouri",8,8,28000
"General Maritime","KMI Harvey",7,7,24500
"General Maritime","Americas Styrenics",6,6,21000
"General Maritime","MGMT",2,2,21000
"General Maritime","Exxon Baton Rouge",5,5,17500
"General Maritime","ARTCO Buoys",1,1,10500
"General Maritime","AST Meraux Buoys",1,1,10500
"General Maritime","Blackwater Westwego",3,3,10500
"General Maritime","IMC Faustina",1,1,10500
"General Maritime","Total Carville",3,3,10500
"General Maritime","Axiall Plaquemine",2,2,7000
"General Maritime","Dow Taft",2,2,7000
"General Maritime","KMI St Gabriel",2,2,7000
"General Maritime","Valero St Charles",2,2,7000
"General Maritime","AST Chalmette Slip",1,1,5000
"General Maritime","AMSTAR",1,1,3500
"General Maritime","Cornerstone",1,1,3500
"General Maritime","Genesis Baton Rouge",1,1,3500
"General Maritime","IMTT Geismar",1,1,3500
"General Maritime","LBC Sunshine",1,1,3500
"General Maritime","MPLX Garyville",1,1,3500
"General Maritime","Occidental Convent",1,1,3500
"General Maritime","Shell Norco",1,1,3500
"General Maritime","Valero Meraux",1,1,3500
"General Maritime","(never berthed)",9,0,0
"General Steamship","Nashville Ave",120,120,600000
"General Steamship","ARTCO Destrehan Buoys",49,49,514500
"General Steamship","KM IMT Myrtle Grove",47,47,493500
"General Steamship","Mile 110 Buoys",36,36,378000
"General Steamship","CHS Myrtle Grove",30,30,315000
"General Steamship","UBT Davant",29,29,304500
